,2023-07-07,2023-07-14,2023-07-21,2023-07-28,2023-08-04,2023-08-11,2023-08-18,2023-08-25,2023-09-01,2023-09-08,2023-09-15,2023-09-22,2023-09-29,2023-10-06,2023-10-13,2023-10-20,2023-10-27,2023-11-03,2023-11-10,2023-11-17,2023-11-24,2023-12-01,2023-12-08,2023-12-15,2023-12-22,2023-12-29
CO_football_scandal,8,0,2,1,2,2,1,3,2,1,0,2,2,2,1,0,1,3,2,2,1,0,0,2,1,1
CO_football_hazing,11,1,5,1,3,2,1,4,4,1,0,2,2,2,1,0,1,0,3,2,1,0,0,1,2,1
CO_football_misconduct,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CO_football_firing,10,1,4,1,2,4,5,5,4,4,2,3,5,1,2,1,2,3,5,4,2,1,1,2,3,1
CO_football_interim,3,0,4,0,3,3,2,6,4,2,1,3,3,1,3,1,4,3,7,4,2,0,0,1,1,1
CO_football_allegation,9,1,2,0,3,2,1,2,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1
CO_football_lawsuit,2,1,4,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,2,1
CO_baseball_scandal,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
CO_baseball_hazing,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
CO_baseball_misconduct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CO_baseball_firing,3,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1
CO_baseball_interim,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
CO_baseball_allegation,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CO_baseball_lawsuit,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
CO_volleyball_scandal,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CO_volleyball_hazing,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
CO_volleyball_misconduct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO_volleyball_firing,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
CO_volleyball_interim,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CO_volleyball_allegation,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
CO_volleyball_lawsuit,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
