,after,before
W2V_football_scandal,0.70210826,0.0
W2V_football_hazing,0.64772713,0.23549190163612366
W2V_football_misconduct,0.31302544,0.0
W2V_football_firing,0.35532054,0.11892836540937424
W2V_football_interim,0.42736432,0.17968975007534027
W2V_football_allegation,0.53547543,0.2461709827184677
W2V_football_lawsuit,0.36553192,-0.030899081379175186
W2V_baseball_scandal,0.87908465,0.0
W2V_baseball_hazing,0.8295009,0.5986765623092651
W2V_baseball_misconduct,0.69950783,0.0
W2V_baseball_firing,0.7894521,0.4656408131122589
W2V_baseball_interim,0.8499658,0.6439740657806396
W2V_baseball_allegation,0.83553684,0.585509717464447
W2V_baseball_lawsuit,0.76618767,0.45324763655662537
W2V_volleyball_scandal,0.8294623,0.0
W2V_volleyball_hazing,0.7127187,0.6206029653549194
W2V_volleyball_misconduct,0.7068076,0.0
W2V_volleyball_firing,0.76619315,0.4243137240409851
W2V_volleyball_interim,0.68418133,0.5976742506027222
W2V_volleyball_allegation,0.8237496,0.5267865061759949
W2V_volleyball_lawsuit,0.8418261,0.42461633682250977
