,before,after
CO_football_scandal_MEAN,0.0,0.07835820895522388
CO_football_hazing_MEAN,0.0034036759700476512,0.09514925373134328
CO_football_misconduct_MEAN,0.0,0.007462686567164179
CO_football_firing_MEAN,0.08032675289312458,0.1455223880597015
CO_football_interim_MEAN,0.008168822328114363,0.11567164179104478
CO_football_allegation_MEAN,0.0006807351940095302,0.05223880597014925
CO_football_lawsuit_MEAN,0.0020422055820285907,0.029850746268656716
CO_baseball_scandal_MEAN,0.0,0.009328358208955223
CO_baseball_hazing_MEAN,0.0,0.014925373134328358
CO_baseball_misconduct_MEAN,0.0,0.0018656716417910447
CO_baseball_firing_MEAN,0.007488087134104833,0.020522388059701493
CO_baseball_interim_MEAN,0.002722940776038121,0.009328358208955223
CO_baseball_allegation_MEAN,0.0,0.013059701492537313
CO_baseball_lawsuit_MEAN,0.0006807351940095302,0.009328358208955223
CO_volleyball_scandal_MEAN,0.0,0.0037313432835820895
CO_volleyball_hazing_MEAN,0.0,0.014925373134328358
CO_volleyball_misconduct_MEAN,0.0,0.0
CO_volleyball_firing_MEAN,0.004765146358066712,0.016791044776119403
CO_volleyball_interim_MEAN,0.0,0.0018656716417910447
CO_volleyball_allegation_MEAN,0.0,0.007462686567164179
CO_volleyball_lawsuit_MEAN,0.0013614703880190605,0.013059701492537313
